block_size,insertion,selection
27500,0,0.778615
27600,0.0025276,0.765778
27700,0,0.781047
27800,0.0156256,0.78089
27900,0,0.804991
28000,0.0020002,0.799109
28100,0,0.795149
28200,0,0.814239
28300,0,0.829063
28400,0,0.822843
28500,0,0.834617
28600,0.0020136,0.833978
28700,0.0030007,0.837495
28800,0.0040101,0.848198
28900,0.0029902,0.84466
29000,0,0.86513
29100,0.003001,0.850987
29200,0,0.878413
29300,0,0.888762
29400,0.002993,0.883255
29500,0.0030127,0.886903
29600,0.0030007,0.895974
29700,0.0030006,0.905521
29800,0.0030068,0.9041
29900,0,0.913813
30000,0.0027926,0.91852
30100,0.0041853,0.922305
30200,0.0030008,0.931903
30300,0.003001,0.934854
30400,0.0032324,0.943984
30500,0.0029491,0.959144
30600,0.0040016,0.951936
30700,0,0.983938
30800,0.0030627,0.965265
30900,0.0030007,0.974008
31000,0.0030075,0.979163
31100,0.0030056,0.989155
31200,0.0030007,0.990562
31300,0.003001,0.987808
31400,0,1.01781
31500,0.0029996,1.01171
31600,0.0030007,1.01756
31700,0.003372,1.02184
31800,0,1.03132
31900,0,1.03896
32000,0.0028116,1.04246
32100,0,1.05728
32200,0.003002,1.05482
32300,0.0030506,1.06341
32400,0.0040006,1.06758
32500,0.0036048,1.08368
32600,0,1.09661
32700,0.0030008,1.1034
32800,0,1.10292
32900,0,1.09977
33000,0.0156259,1.10829
33100,0,1.12996
33200,0,1.12652
33300,0,1.1299
33400,0,1.14503
33500,0,1.1485
33600,0.0030008,1.1493
33700,0.0033261,1.14265
33800,0.015626,1.16738
33900,0.0040031,1.17188
34000,0,1.18113
34100,0.004001,1.18819
34200,0.0038247,1.19538
34300,0,1.22544
34400,0.0030003,1.19799
34500,0,1.22486
34600,0,1.21877
34700,0,1.23755
34800,0.0039997,1.22931
34900,0,1.23498
35000,0.0156261,1.24062
35100,0,1.27346
35200,0.0029915,1.26454
35300,0.0030121,1.25569
35400,0.0156259,1.27776
35500,0.0030011,1.29408
35600,0.0030162,1.29953
35700,0.0030118,1.30118
35800,0.0040009,1.29262
35900,0,1.31474
36000,0,1.37464
36100,0.0030179,1.33238
36200,0,1.34917
36300,0.0035883,1.37899
36400,0,1.45727
36500,0.0040914,1.42462
36600,0.0030137,1.38186
36700,0.0040009,1.3688
36800,0,1.38148
36900,0.0156261,1.38358
37000,0,1.40835
37100,0,1.39361
37200,0.0156259,1.399
37300,0,1.4276
37400,0,1.43684
37500,0,1.43211
37600,0,1.45398
37700,0,1.46358
37800,0.0040167,1.46518
37900,0.0033848,1.48015
38000,0.0043812,1.51075
38100,0.0037188,1.48283
38200,0.0040176,1.48571
38300,0,1.50131
38400,0.017026,1.50501
38500,0.0034986,1.50487
38600,0.0156261,1.53166
38700,0.0040952,1.52733
38800,0.004758,1.53313
38900,0.0030085,1.54211
39000,0,1.5605
39100,0,1.56845
39200,0.0067321,1.56161
39300,0.007068,1.57461
39400,0.0049027,1.5857
39500,0.0040004,1.59453
39600,0.0040165,1.59154
39700,0,1.61847
39800,0.0040162,1.60524
39900,0,1.64136
40000,0.0039998,1.63119
40100,0.0042186,1.64024
40200,0.0043433,1.65109
40300,0,1.67546
40400,0.0040019,1.66219
40500,0.003757,1.67468
40600,0,1.68636
40700,0.0030189,1.68136
40800,0,1.70384
40900,0.0040008,1.69551
41000,0,1.72164
41100,0,1.71874
41200,0.0156262,1.72432
41300,0,1.73423
41400,0.0156258,1.7352
41500,0.0156263,1.74806
41600,0,1.75745
41700,0.0140179,1.75858
41800,0,1.78076
41900,0.0156261,1.77734
42000,0.0156445,1.79454
42100,0.0033378,1.79927
42200,0,1.80749
42300,0.0156261,1.82771
42400,0.0043539,1.85408
42500,0.0034693,1.84632
42600,0.0039998,1.84989
42700,0.0042083,1.84827
42800,0,1.88265
42900,0.0040007,1.88242
43000,0.017591,1.88405
43100,0,1.90541
43200,0.0040011,1.89289
43300,0,1.92118
43400,0,1.92794
43500,0.0042823,1.91782
43600,0.0156259,1.92655
43700,0,1.95381
43800,0,1.94929
43900,0.0156266,1.95586
44000,0,1.97934
44100,0,1.98122
44200,0,1.99869
44300,0,2.00097
44400,0,2.00691
44500,0,2.01733
44600,0,2.03033
44700,0,2.02926
44800,0.0156247,2.03681
44900,0,2.05233
45000,0.0156258,2.05236
45100,0.0156262,2.06779
45200,0.0041795,2.07796
45300,0.0036163,2.08774
45400,0,2.09038
45500,0,2.10967
45600,0,2.11989
45700,0,2.14137
45800,0,2.14053
45900,0,2.15127
46000,0.0050016,2.1555
46100,0,2.15846
46200,0,2.17862
46300,0,2.19889
46400,0,2.1893
46500,0,2.19837
46600,0.0168536,2.2055
46700,0,2.23429
46800,0.004986,2.2219
46900,0,2.24022
47000,0.015626,2.239
47100,0.0156263,2.25898
47200,0.0048858,2.25043
47300,0.0156259,2.27537
47400,0,2.29397
47500,0.004001,2.29197
47600,0,2.3144
47700,0,2.32002
47800,0,2.329
47900,0,2.34339
48000,0.0140186,2.34267
48100,0,2.37154
48200,0.0049999,2.37852
48300,0.0050177,2.3821
48400,0.0049755,2.39867
48500,0.0050008,2.39662
48600,0.0050012,2.39984
48700,0,2.42404
48800,0.0044924,2.41088
48900,0.0156262,2.43003
49000,0,2.4542
