block_size,merge,quick
33100,0,0.094148
33200,0,0.046871
33300,0,0.031636
33400,0,0.047155
33500,0,0.031261
33600,0,0.031663
33700,0,0.046884
33800,0,0.03125
33900,0,0.016065
34000,0.015658,0.047193
34100,0.015625,0.031712
34200,0,0.03125
34300,0,0.034047
34400,0,0.060366
34500,0,0.157065
34600,0,0.064712
34700,0,0.131752
34800,0.009529,0.01564
34900,0,0.031246
35000,0,0.078696
35100,0,0.064948
35200,0,0.029686
35300,0.015628,0.016008
35400,0,0.031121
35500,0.007774,0.008231
35600,0.015657,0.03328
35700,0,0.061406
35800,0,0.016869
35900,0.014534,0.031539
36000,0,0.126475
36100,0.015659,0.125993
36200,0.015659,0.03547
36300,0,0.043606
36400,0,0.031459
36500,0,0.078685
36600,0,0.031399
36700,0,0.093782
36800,0,0.142126
36900,0,0.067407
37000,0,0.042769
37100,0,0.031251
37200,0,0.080534
37300,0,0.108447
37400,0,0.031248
37500,0,0.031687
37600,0,0.046912
37700,0,0.047432
37800,0,0.031283
37900,0,0.09421
38000,0,0.141706
38100,0,0.047826
38200,0.015478,0.047055
38300,0,0.047487
38400,0,0.015659
38500,0.015625,0.03829
38600,0.00903,0.046909
38700,0,0.063016
38800,0,0.031249
38900,0.015625,0.078923
39000,0,0.055873
39100,0,0.069612
39200,0,0.06308
39300,0,0.047408
39400,0.015665,0.047345
39500,0,0.04712
39600,0,0.031719
39700,0.015626,0.031253
39800,0,0.031778
39900,0,0.046833
40000,0.015593,0.03167
40100,0.006006,0.056901
40200,0,0.04729
40300,0,0.031427
40400,0.015658,0.031431
40500,0,0.049542
40600,0,0.045155
40700,0,0.046944
40800,0,0.078588
40900,0,0.110318
41000,0,0.046928
41100,0.015606,0.031704
41200,0,0.06251
41300,0,0.047266
41400,0.015633,0.078513
41500,0,0.062839
41600,0,0.031695
41700,0,0.046906
41800,0,0.052161
41900,0.010527,0.078157
42000,0.008536,0.023183
42100,0,0.0625
42200,0,0.031715
42300,0,0.0625
42400,0,0.047343
42500,0,0.046876
42600,0,0.047338
42700,0,0.046875
42800,0.015624,0.094527
42900,0,0.047532
43000,0.015658,0.047296
43100,0,0.078601
43200,0,0.125806
43300,0,0.094327
43400,0,0.062964
43500,0.015625,0.062963
43600,0,0.046875
43700,0,0.079049
43800,0,0.047405
43900,0,0.078087
44000,0,0.078738
44100,0,0.0475
44200,0,0.096302
44300,0.013528,0.031563
44400,0,0.054945
44500,0.008031,0.109877
44600,0,0.08238
44700,0.012024,0.031284
44800,0,0.083912
44900,0.011029,0.081227
45000,0,0.044814
45100,0,0.035779
45200,0,0.137041
45300,0.015623,0.033379
45400,0.01406,0.047307
45500,0,0.110056
45600,0,0.062897
45700,0.015626,0.064508
45800,0.014006,0.031487
45900,0.015634,0.219632
46000,0,0.078803
46100,0,0.078328
46200,0,0.06303
46300,0,0.109746
46400,0,0.094253
46500,0,0.062558
46600,0,0.094187
46700,0,0.047309
46800,0,0.046906
46900,0,0.062978
47000,0,0.172699
47100,0,0.080312
47200,0.014027,0.047378
47300,0.015624,0.062931
47400,0,0.094214
47500,0.015654,0.109961
47600,0,0.094252
47700,0.015625,0.109838
47800,0,0.062934
47900,0,0.078641
48000,0,0.047339
48100,0,0.125467
48200,0.015625,0.1098
48300,0,0.424339
48400,0,0.078156
48500,0.012029,0.113865
48600,0.015656,0.048685
48700,0,0.249869
48800,0.015624,0.056701
48900,0.006239,0.095318
49000,0,0.157152
49100,0,0.078727
49200,0,0.064808
49300,0,0.076562
49400,0,0.095774
49500,0.000508,0.076793
49600,0,0.062969
49700,0.015658,0.141432
49800,0,0.07864
49900,0,0.064722
50000,0.0155,0.070181
50100,0,0.102172
50200,0,0.046908
50300,0,0.062935
50400,0.015659,0.125373
50500,0,0.047705
50600,0,0.125288
50700,0.015625,0.099668
50800,0.015416,0.079195
50900,0.014005,0.110289
51000,0.017463,0.141214
51100,0.001783,0.095058
51200,0.015868,0.109901
51300,0.016029,0.093154
51400,0.017415,0.04762
51500,0,0.108224
51600,0.015627,0.078525
51700,0,0.125487
51800,0,0.094149
51900,0,0.064405
52000,0,0.060896
52100,0,0.109772
52200,0,0.266819
52300,0.015624,0.110232
52400,0,0.078935
52500,0,0.062905
52600,0,0.096067
52700,0,0.060941
52800,0,0.078581
52900,0.015624,0.047309
53000,0,0.046905
53100,0.015625,0.127719
53200,0,0.123896
53300,0.015657,0.04715
53400,0,0.048047
53500,0.015671,0.127179
53600,0.014029,0.063004
53700,0,0.054425
53800,0,0.102987
53900,0.015657,0.082904
54000,0.011029,0.046914
54100,0,0.079822
54200,0.016644,0.077034
54300,0,0.094508
54400,0.015636,0.283192
54500,0.017216,0.029955
54600,0,0.127856
54700,0.013528,0.086694
54800,0,0.054442
54900,0.015624,0.063361
55000,0.015626,0.031593
55100,0,0.062969
55200,0.015633,0.031243
55300,0.010032,0.06857
55400,0,0.078479
55500,0.001915,0.21848
55600,0,0.094431
55700,0,0.094256
55800,0,0.157113
55900,0.01566,0.078573
56000,0.015657,0.046875
56100,0,0.078884
56200,0.015659,0.094225
56300,0,0.062967
56400,0.015626,0.094625
56500,0,0.156711
56600,0.016065,0.078587
56700,0.015626,0.079349
56800,0,0.078219
56900,0.015626,0.109618
57000,0.015625,0.094223
57100,0,0.126161
57200,0,0.125717
57300,0,0.109975
57400,0,0.205759
57500,0.014029,0.131143
57600,0.010029,0.062534
57700,0.015625,0.094556
57800,0,0.283217
57900,0,0.335126
58000,0.011029,0.335348
58100,0.010529,0.067461
58200,0.011533,0.062835
58300,0.002515,0.100042
58400,0,0.070562
58500,0,0.094431
58600,0,0.078586
58700,0,0.047207
58800,0.009531,0.1501
58900,0,0.123998
59000,0.01562,0.126243
59100,0,0.20462
59200,0,0.381632
59300,0,0.168969
59400,0,0.253071
59500,0,0.078788
59600,0,0.095978
59700,0.00403,0.106378
59800,0,0.077129
59900,0,0.15687
60000,0.020543,0.091574
60100,0,0.061375
60200,0,0.125624
60300,0,0.125818
60400,0,0.125505
60500,0.01103,0.036315
60600,0,0.141571
60700,0.015628,0.157682
60800,0,0.188824
60900,0,0.160847
61000,0,0.058937
61100,0,0.125287
61200,0.017702,0.312862
61300,0.017443,0.139535
61400,0,0.14221
61500,0.015658,0.125559
61600,0.015546,0.15924
61700,0,0.061377
61800,0.015657,0.0625
61900,0,0.205109
62000,0,0.251736
62100,0,0.093898
62200,0.015625,0.078364
62300,0,0.125778
62400,0,0.133226
62500,0,0.24414
62600,0,0.159564
62700,0.013528,0.125688
62800,0,0.125603
62900,0.015658,0.094222
63000,0,0.078608
63100,0.015614,0.205489
63200,0,0.09455
63300,0.015626,0.068366
63400,0,0.145063
63500,0,0.069944
63600,0.01566,0.142191
63700,0.015661,0.10985
63800,0,0.314261
63900,0.015624,0.078686
64000,0,0.267441
64100,0,0.078564
64200,0,0.266807
64300,0,0.236737
64400,0.015658,0.109846
64500,0,0.094399
64600,0.015619,0.094397
64700,0,0.094633
64800,0,0.141389
64900,0,0.094517
65000,0,0.393091
65100,0,0.094344
65200,0.015624,0.04735
65300,0.015622,0.12618
65400,0,0.094478
65500,0,0.078075
65600,0.015628,0.141247
65700,0.012031,0.113897
65800,0,0.094557
65900,0,0.192662
66000,0,0.090439
66100,0.009789,0.084398
66200,0.015532,0.518838
66300,0.015658,0.472059
66400,0,0.095768
66500,0,0.123779
66600,0.015624,0.10978
66700,0,0.251625
66800,0,0.203304
66900,0,0.078132
67000,0,0.250684
67100,0,0.09415
67200,0,0.125395
67300,0,0.109767
67400,0.015624,0.455617
67500,0,0.094158
67600,0,0.175791
67700,0,0.059389
67800,0.015627,0.094147
67900,0,0.140901
68000,0.015636,0.156916
68100,0.015637,0.220344
68200,0,0.12585
68300,0,0.159252
68400,0.014027,0.094213
68500,0,0.078358
68600,0.010529,0.162973
68700,0,0.219486
68800,0.018154,0.076267
68900,0,0.094571
69000,0,0.172556
69100,0.015626,0.047317
69200,0.015656,0.127254
69300,0.018948,0.0584
69400,0.017451,0.163427
69500,0,0.078253
69600,0,0.126179
69700,0.015656,0.125751
69800,0,0.173523
69900,0.015656,0.078595
70000,0,0.187829
70100,0,0.080351
70200,0.014027,0.141344
70300,0,0.204606
70400,0.015625,0.109839
70500,0,0.15922
70600,0,0.077022
70700,0,0.188396
70800,0.015657,0.426716
70900,0.013526,0.09657
71000,0.013527,0.078619
71100,0.015625,0.188904
71200,0.015624,0.157177
71300,0,0.096681
71400,0.014027,0.125497
71500,0,0.112064
71600,0.020375,0.103744
71700,0,0.125796
71800,0,0.094396
71900,0,0.222151
72000,0.015881,0.312466
72100,0.015625,0.283204
72200,0.015625,0.157657
72300,0.015624,0.219447
72400,0,0.236358
72500,0.015657,0.23585
72600,0.015625,0.188554
72700,0.015624,0.298229
72800,0,0.207997
72900,0.010005,0.099891
73000,0.015012,0.206821
73100,0,0.140568
73200,0,0.094735
73300,0.015624,0.160472
73400,0.013528,0.154192
73500,0.003531,0.112079
73600,0,0.171295
73700,0.016062,0.07844
73800,0.002021,0.504043
73900,0.013528,0.111545
74000,0.014028,0.094306
74100,0.015659,0.064975
74200,0.014029,0.407609
74300,0.01744,0.261738
74400,0.003531,0.409175
74500,0,0.125505
74600,0.015623,0.130074
74700,0.015625,0.235701
74800,0,0.078359
74900,0,0.095956
75000,0.014029,0.461017
75100,0.01053,0.346121
75200,0.015624,0.062971
75300,0,0.143119
75400,0.014028,0.078438
75500,0.015624,0.11059
75600,0,0.127706
75700,0,0.127211
75800,0.014028,0.097456
75900,0,0.407926
76000,0.015658,0.455416
76100,0,0.188857
76200,0,0.519738
76300,0,0.282839
76400,0,0.141016
76500,0,0.09453
76600,0,0.109773
76700,0.015624,0.504195
76800,0.014012,0.219555
76900,0.015623,0.1268
77000,0.014007,0.078527
77100,0.015624,0.618393
77200,0,0.278417
77300,0.015624,0.174862
77400,0,0.171239
77500,0,0.394435
77600,0.015656,0.109316
77700,0,0.363159
77800,0,0.220519
77900,0.017181,0.156638
78000,0.015642,0.126038
78100,0,0.126071
78200,0.015625,0.113385
78300,0.01253,0.157253
78400,0,0.190746
78500,0.014028,0.12664
78600,0.015029,0.188566
78700,0,0.156981
78800,0.015624,0.078884
78900,0.015625,0.346106
79000,0,0.251151
79100,0,0.196048
79200,0.002158,0.148558
79300,0.017504,0.139542
79400,0.015658,0.160419
79500,0,0.234248
79600,0.014029,0.487685
79700,0.015624,0.237788
79800,0.017984,0.153579
79900,0,0.58348
80000,0.014013,0.112039
80100,0,0.109883
80200,0.015631,0.471928
80300,0,0.392862
80400,0.017073,0.264551
80500,0,0.157435
80600,0,0.188294
80700,0,0.235171
80800,0,0.346623
80900,0.015656,0.125842
81000,0,0.12567
81100,0,0.267537
81200,0,0.204052
81300,0.015627,0.125664
81400,0,0.098025
81500,0.017061,0.123075
81600,0,0.176731
81700,0.012027,0.110683
81800,0.015656,0.235812
81900,0,0.062964
82000,0.015628,0.10984
82100,0,0.269106
82200,0,0.110143
82300,0.015624,0.109859
82400,0.015836,0.141934
82500,0,0.094215
82600,0.015631,0.361813
82700,0,0.222787
82800,0.014027,0.141304
82900,0.015232,0.172391
83000,0,0.17347
83100,0,0.267146
83200,0.015658,0.188319
83300,0,0.142734
83400,0.014029,0.127793
83500,0.014029,0.173023
83600,0,0.113364
83700,0.012529,0.08754
83800,0.007007,0.15787
83900,0.0186,0.234186
84000,0,0.440806
84100,0,0.45326
84200,0,0.156657
84300,0,0.12545
84400,0.016012,0.194346
84500,0.010229,0.141472
84600,0.015625,0.285007
84700,0.014029,0.314267
84800,0,0.158242
84900,0,0.263027
85000,0.004523,0.188454
85100,0.00753,0.29355
85200,0.00703,0.147956
85300,0,0.26744
85400,0.015658,0.270099
85500,0,0.216043
85600,0,0.188703
85700,0.015657,0.141301
85800,0.015623,0.094229
85900,0.015617,0.15746
86000,0.015626,0.204129
86100,0,0.222078
86200,0.015567,0.140426
86300,0,0.188443
86400,0,0.171988
86500,0.002922,0.202727
86600,0.01563,0.325145
86700,0.002161,0.222977
86800,0.008183,0.1503
86900,0,0.159745
87000,0.014029,0.300738
87100,0.009023,0.425443
87200,0.008992,0.39822
87300,0.015642,0.141431
87400,0,0.368141
87500,0,0.159338
87600,0,0.229258
87700,0.009002,0.394411
87800,0.008864,0.520186
87900,0.004143,0.255428
88000,0.001831,0.221542
88100,0.003805,0.324145
88200,0.009171,0.224233
88300,0.008992,0.192085
88400,0.015659,0.95242
88500,0.010018,0.229889
88600,0.008,0.363653
88700,0.007995,0.220939
88800,0.007992,0.32067
88900,0,0.550671
89000,0.008688,0.308536
89100,0.009524,0.150961
89200,0,0.204404
89300,0.01563,0.112852
89400,0.008997,0.250591
89500,0.009984,0.189046
89600,0.010012,0.277469
89700,0.008299,0.170504
89800,0.00902,0.183427
89900,0.008994,0.331487
90000,0.007992,0.144961
90100,0.009569,0.199433
90200,0.009002,0.278716
90300,0.009394,0.155084
90400,0.008319,0.186567
