block_no,merge,quick
196,2.62404e+07,2.90236e+08
197,2.65228e+07,2.99548e+08
198,2.68068e+07,3.04396e+08
199,2.70925e+07,3.07599e+08
200,2.73797e+07,3.09312e+08
201,2.76685e+07,3.13165e+08
202,2.79589e+07,3.16055e+08
203,2.8251e+07,3.19799e+08
204,2.85446e+07,3.2293e+08
205,2.88398e+07,3.28206e+08
206,2.91367e+07,3.34843e+08
207,2.94351e+07,3.47402e+08
208,2.97351e+07,3.49905e+08
209,3.00368e+07,3.52868e+08
210,3.034e+07,3.55574e+08
211,3.06448e+07,3.61816e+08
212,3.09513e+07,3.63904e+08
213,3.12593e+07,3.66069e+08
214,3.15689e+07,3.68374e+08
215,3.18802e+07,3.71635e+08
216,3.2193e+07,3.74713e+08
217,3.25074e+07,3.8013e+08
218,3.28235e+07,3.83493e+08
219,3.31411e+07,3.87581e+08
220,3.34603e+07,3.90612e+08
221,3.37812e+07,3.9657e+08
222,3.41036e+07,3.98958e+08
223,3.44276e+07,4.02916e+08
224,3.47533e+07,4.08115e+08
225,3.50805e+07,4.11229e+08
226,3.54093e+07,4.14424e+08
227,3.57397e+07,4.17666e+08
228,3.60718e+07,4.23566e+08
229,3.64054e+07,4.26105e+08
230,3.67406e+07,4.34026e+08
231,3.70775e+07,4.43964e+08
232,3.74159e+07,4.5031e+08
233,3.77559e+07,4.56547e+08
234,3.80976e+07,4.631e+08
235,3.84408e+07,4.66255e+08
236,3.87856e+07,4.69102e+08
237,3.91321e+07,4.76071e+08
238,3.94801e+07,4.84588e+08
239,3.98297e+07,4.88691e+08
240,4.0181e+07,5.21492e+08
241,4.05338e+07,5.28931e+08
242,4.08882e+07,5.35144e+08
243,4.12443e+07,5.41e+08
244,4.16019e+07,5.45213e+08
245,4.19611e+07,5.48775e+08
246,4.2322e+07,5.52613e+08
247,4.26844e+07,5.5569e+08
248,4.30484e+07,5.59839e+08
249,4.34141e+07,5.65695e+08
250,4.37813e+07,5.70412e+08
251,4.41501e+07,5.81451e+08
252,4.45205e+07,5.85075e+08
253,4.48926e+07,5.99813e+08
254,4.52662e+07,6.03086e+08
255,4.56414e+07,6.07127e+08
256,4.60183e+07,6.12419e+08
257,4.63967e+07,6.17064e+08
258,4.67767e+07,6.23201e+08
259,4.71584e+07,6.31743e+08
260,4.75416e+07,6.35331e+08
261,4.79264e+07,6.39993e+08
262,4.83129e+07,6.47673e+08
263,4.87009e+07,6.62009e+08
264,4.90905e+07,6.67492e+08
265,4.94818e+07,6.71364e+08
266,4.98746e+07,6.75642e+08
267,5.0269e+07,6.90133e+08
268,5.06651e+07,6.96912e+08
269,5.10627e+07,7.05918e+08
270,5.14619e+07,7.09823e+08
271,5.18628e+07,7.14992e+08
272,5.22652e+07,7.23629e+08
273,5.26692e+07,7.28567e+08
274,5.30749e+07,7.34232e+08
275,5.34821e+07,7.44406e+08
276,5.38909e+07,7.50456e+08
277,5.43013e+07,7.55007e+08
278,5.47134e+07,7.60244e+08
279,5.5127e+07,7.73567e+08
280,5.55422e+07,7.78594e+08
281,5.59591e+07,7.8413e+08
282,5.63775e+07,7.92056e+08
283,5.67975e+07,8.11904e+08
284,5.72192e+07,8.20836e+08
285,5.76424e+07,8.24724e+08
286,5.80672e+07,8.27609e+08
287,5.84937e+07,8.35878e+08
288,5.89217e+07,8.44629e+08
289,5.93513e+07,8.50364e+08
290,5.97826e+07,8.54854e+08
291,6.02154e+07,8.61573e+08
292,6.06498e+07,8.65594e+08
293,6.10859e+07,8.70179e+08
294,6.15235e+07,8.76729e+08
295,6.19627e+07,8.80561e+08
296,6.24036e+07,9.12341e+08
297,6.2846e+07,9.23869e+08
298,6.329e+07,9.32289e+08
299,6.37357e+07,9.37392e+08
300,6.41829e+07,9.45789e+08
301,6.46317e+07,9.53868e+08
302,6.50821e+07,9.60727e+08
303,6.55342e+07,9.65627e+08
304,6.59878e+07,9.74084e+08
305,6.6443e+07,9.81895e+08
306,6.68999e+07,9.98815e+08
307,6.73583e+07,1.00269e+09
308,6.78183e+07,1.02756e+09
309,6.828e+07,1.03249e+09
310,6.87432e+07,1.04161e+09
311,6.9208e+07,1.04785e+09
312,6.96745e+07,1.05619e+09
313,7.01425e+07,1.06863e+09
314,7.06121e+07,1.0978e+09
315,7.10834e+07,1.10347e+09
316,7.15562e+07,1.10865e+09
317,7.20306e+07,1.12036e+09
318,7.25067e+07,1.14396e+09
319,7.29843e+07,1.14769e+09
320,7.34635e+07,1.15526e+09
321,7.39444e+07,1.16271e+09
322,7.44268e+07,1.16707e+09
323,7.49108e+07,1.17371e+09
324,7.53965e+07,1.17823e+09
325,7.58837e+07,1.18471e+09
326,7.63725e+07,1.19433e+09
327,7.68629e+07,1.20278e+09
328,7.7355e+07,1.21665e+09
329,7.78488e+07,1.22112e+09
330,7.83442e+07,1.23334e+09
331,7.88414e+07,1.25846e+09
332,7.93403e+07,1.26787e+09
333,7.98408e+07,1.27445e+09
334,8.03431e+07,1.28755e+09
335,8.08471e+07,1.29442e+09
336,8.13527e+07,1.30158e+09
337,8.18601e+07,1.31078e+09
338,8.23692e+07,1.31719e+09
339,8.28799e+07,1.32342e+09
340,8.33924e+07,1.33828e+09
341,8.39065e+07,1.34863e+09
342,8.44224e+07,1.35543e+09
343,8.494e+07,1.36314e+09
344,8.54592e+07,1.37714e+09
345,8.59802e+07,1.41468e+09
346,8.65029e+07,1.4295e+09
347,8.70272e+07,1.46348e+09
348,8.75533e+07,1.46881e+09
349,8.80811e+07,1.4748e+09
350,8.86105e+07,1.49425e+09
351,8.91417e+07,1.50918e+09
352,8.96745e+07,1.5182e+09
353,9.02091e+07,1.52312e+09
354,9.07454e+07,1.52959e+09
355,9.12833e+07,1.53485e+09
356,9.1823e+07,1.54536e+09
357,9.23644e+07,1.55866e+09
358,9.29074e+07,1.56387e+09
359,9.34522e+07,1.57263e+09
360,9.39987e+07,1.60525e+09
361,9.45468e+07,1.64033e+09
362,9.50967e+07,1.64936e+09
363,9.56483e+07,1.66141e+09
364,9.62015e+07,1.66814e+09
365,9.67565e+07,1.68572e+09
366,9.73131e+07,1.69222e+09
367,9.78715e+07,1.7161e+09
368,9.84316e+07,1.75142e+09
369,9.89933e+07,1.76684e+09
370,9.95568e+07,1.77693e+09
371,1.00122e+08,1.78259e+09
372,1.00689e+08,1.80327e+09
373,1.01257e+08,1.82832e+09
374,1.01828e+08,1.83677e+09
375,1.024e+08,1.84399e+09
376,1.02973e+08,1.85299e+09
377,1.03549e+08,1.86397e+09
378,1.04126e+08,1.87116e+09
379,1.04704e+08,1.89326e+09
380,1.05285e+08,1.92879e+09
381,1.05867e+08,1.94162e+09
382,1.06451e+08,1.95404e+09
383,1.07037e+08,1.96429e+09
384,1.07624e+08,1.97113e+09
385,1.08213e+08,1.98205e+09
386,1.08803e+08,1.99562e+09
387,1.09396e+08,2.01045e+09
388,1.0999e+08,2.01851e+09
389,1.10586e+08,2.0385e+09
390,1.11183e+08,2.0509e+09
391,1.11782e+08,2.06736e+09
392,1.12383e+08,2.08356e+09
393,1.12986e+08,2.09647e+09
394,1.1359e+08,2.10866e+09
395,1.14196e+08,2.11984e+09
396,1.14804e+08,2.1299e+09
397,1.15413e+08,2.13817e+09
398,1.16024e+08,2.14559e+09
399,1.16637e+08,2.15641e+09
400,1.17251e+08,2.16423e+09
401,1.17867e+08,2.17894e+09
402,1.18485e+08,2.19095e+09
403,1.19105e+08,2.19953e+09
404,1.19726e+08,2.20679e+09
405,1.20349e+08,2.21893e+09
406,1.20974e+08,2.23027e+09
407,1.216e+08,2.24116e+09
408,1.22228e+08,2.25937e+09
409,1.22858e+08,2.2851e+09
410,1.23489e+08,2.29806e+09
411,1.24123e+08,2.30812e+09
412,1.24757e+08,2.32199e+09
413,1.25394e+08,2.33478e+09
414,1.26032e+08,2.35371e+09
415,1.26672e+08,2.3684e+09
416,1.27314e+08,2.37723e+09
417,1.27957e+08,2.3885e+09
418,1.28602e+08,2.39966e+09
419,1.29249e+08,2.42056e+09
420,1.29898e+08,2.42757e+09
421,1.30548e+08,2.44081e+09
422,1.312e+08,2.45047e+09
423,1.31853e+08,2.46386e+09
424,1.32508e+08,2.47359e+09
425,1.33165e+08,2.48585e+09
426,1.33824e+08,2.49739e+09
427,1.34484e+08,2.50852e+09
428,1.35146e+08,2.53275e+09
429,1.3581e+08,2.54626e+09
430,1.36476e+08,2.55786e+09
431,1.37143e+08,2.57698e+09
432,1.37812e+08,2.60753e+09
433,1.38482e+08,2.63043e+09
434,1.39154e+08,2.64808e+09
435,1.39828e+08,2.66516e+09
436,1.40504e+08,2.67616e+09
437,1.41181e+08,2.69434e+09
438,1.41861e+08,2.70489e+09
439,1.42541e+08,2.72298e+09
440,1.43224e+08,2.74281e+09
441,1.43908e+08,2.75288e+09
442,1.44594e+08,2.77723e+09
443,1.45281e+08,2.786e+09
444,1.45971e+08,2.79943e+09
445,1.46662e+08,2.82735e+09
446,1.47354e+08,2.84794e+09
447,1.48049e+08,2.8564e+09
448,1.48745e+08,2.87746e+09
449,1.49442e+08,2.89928e+09
450,1.50142e+08,2.90936e+09
451,1.50843e+08,2.91696e+09
452,1.51546e+08,2.95203e+09
453,1.52251e+08,2.96276e+09
454,1.52957e+08,2.9768e+09
455,1.53665e+08,3.00057e+09
456,1.54374e+08,3.01858e+09
457,1.55086e+08,3.0364e+09
458,1.55799e+08,3.04755e+09
459,1.56514e+08,3.10365e+09
460,1.5723e+08,3.12077e+09
461,1.57948e+08,3.14126e+09
462,1.58668e+08,3.15431e+09
463,1.5939e+08,3.18128e+09
464,1.60113e+08,3.20551e+09
465,1.60838e+08,3.21965e+09
466,1.61565e+08,3.24002e+09
467,1.62293e+08,3.25167e+09
468,1.63023e+08,3.26378e+09
469,1.63755e+08,3.2765e+09
470,1.64488e+08,3.31986e+09
471,1.65223e+08,3.33979e+09
472,1.6596e+08,3.35505e+09
473,1.66699e+08,3.37139e+09
474,1.67439e+08,3.39621e+09
475,1.68181e+08,3.42377e+09
476,1.68925e+08,3.4495e+09
477,1.6967e+08,3.47806e+09
478,1.70417e+08,3.49219e+09
479,1.71166e+08,3.51043e+09
480,1.71916e+08,3.52107e+09
481,1.72669e+08,3.55344e+09
482,1.73422e+08,3.58224e+09
483,1.74178e+08,3.68835e+09
484,1.74935e+08,3.70708e+09
485,1.75694e+08,3.73869e+09
486,1.76455e+08,3.75029e+09
487,1.77217e+08,3.81478e+09
488,1.77981e+08,3.82825e+09
489,1.78747e+08,3.85344e+09
490,1.79514e+08,3.89238e+09
491,1.80284e+08,3.91142e+09
492,1.81055e+08,3.92555e+09
493,1.81827e+08,3.94267e+09
494,1.82601e+08,3.96474e+09
495,1.83377e+08,3.98449e+09
496,1.84155e+08,4.00055e+09
497,1.84934e+08,4.03763e+09
498,1.85715e+08,4.05485e+09
499,1.86498e+08,4.07093e+09
500,1.87283e+08,4.08794e+09
501,1.88069e+08,4.1138e+09
502,1.88857e+08,4.12292e+09
503,1.89646e+08,4.14079e+09
504,1.90437e+08,4.17183e+09
505,1.9123e+08,4.18183e+09
506,1.92025e+08,4.21564e+09
507,1.92821e+08,4.2418e+09
508,1.9362e+08,4.26408e+09
509,1.94419e+08,4.29525e+09
510,1.95221e+08,4.33008e+09
511,1.96024e+08,4.35588e+09
512,1.96829e+08,4.38654e+09
513,1.97635e+08,4.41296e+09
514,1.98444e+08,4.42586e+09
515,1.99254e+08,4.45344e+09
516,2.00065e+08,4.47399e+09
517,2.00879e+08,4.50412e+09
518,2.01694e+08,4.52495e+09
519,2.0251e+08,4.54011e+09
520,2.03329e+08,4.55562e+09
521,2.04149e+08,4.58e+09
522,2.04971e+08,4.64925e+09
523,2.05794e+08,4.67631e+09
524,2.0662e+08,4.69537e+09
525,2.07447e+08,4.71082e+09
526,2.08275e+08,4.73137e+09
527,2.09106e+08,4.74659e+09
528,2.09938e+08,4.76687e+09
529,2.10772e+08,4.77919e+09
530,2.11607e+08,4.79244e+09
531,2.12444e+08,4.82422e+09
532,2.13283e+08,4.85604e+09
533,2.14124e+08,4.86822e+09
534,2.14966e+08,4.88087e+09
535,2.1581e+08,4.91623e+09
536,2.16656e+08,4.93255e+09
537,2.17503e+08,4.94328e+09
538,2.18352e+08,4.97127e+09
539,2.19203e+08,4.99362e+09
540,2.20055e+08,5.00439e+09
541,2.20909e+08,5.02622e+09
542,2.21765e+08,5.04643e+09
543,2.22623e+08,5.07088e+09
544,2.23482e+08,5.14438e+09
545,2.24343e+08,5.15316e+09
546,2.25206e+08,5.18476e+09
547,2.2607e+08,5.20657e+09
548,2.26936e+08,5.22177e+09
549,2.27804e+08,5.24009e+09
550,2.28673e+08,5.25014e+09
551,2.29544e+08,5.26524e+09
552,2.30417e+08,5.27481e+09
553,2.31292e+08,5.29352e+09
554,2.32168e+08,5.30963e+09
555,2.33046e+08,5.36299e+09
556,2.33926e+08,5.38733e+09
557,2.34807e+08,5.40862e+09
558,2.3569e+08,5.44922e+09
559,2.36575e+08,5.47104e+09
560,2.37461e+08,5.48304e+09
561,2.3835e+08,5.50387e+09
562,2.39239e+08,5.52751e+09
563,2.40131e+08,5.54411e+09
564,2.41024e+08,5.56725e+09
565,2.41919e+08,5.60818e+09
566,2.42816e+08,5.63038e+09
567,2.43714e+08,5.65038e+09
568,2.44614e+08,5.67117e+09
569,2.45516e+08,5.70036e+09
570,2.4642e+08,5.72403e+09
571,2.47325e+08,5.75576e+09
572,2.48232e+08,5.78652e+09
573,2.4914e+08,5.81188e+09
