block_no,merge,quick
796,4.95205e+08,1.52397e+10
797,4.96509e+08,1.53017e+10
798,4.97814e+08,1.53413e+10
799,4.99121e+08,1.54835e+10
800,5.0043e+08,1.55124e+10
801,5.01741e+08,1.55391e+10
802,5.03053e+08,1.56578e+10
803,5.04368e+08,1.57551e+10
804,5.05684e+08,1.58229e+10
805,5.07002e+08,1.58587e+10
806,5.08321e+08,1.59052e+10
807,5.09643e+08,1.59617e+10
808,5.10966e+08,1.60477e+10
809,5.12291e+08,1.60788e+10
810,5.13618e+08,1.61093e+10
811,5.14947e+08,1.61737e+10
812,5.16278e+08,1.62249e+10
813,5.1761e+08,1.62568e+10
814,5.18944e+08,1.62811e+10
815,5.2028e+08,1.63135e+10
816,5.21618e+08,1.63555e+10
817,5.22957e+08,1.6385e+10
818,5.24299e+08,1.64442e+10
819,5.25642e+08,1.64603e+10
820,5.26987e+08,1.64887e+10
821,5.28333e+08,1.65563e+10
822,5.29682e+08,1.6584e+10
823,5.31032e+08,1.66133e+10
824,5.32384e+08,1.66499e+10
825,5.33738e+08,1.66732e+10
826,5.35094e+08,1.67647e+10
827,5.36452e+08,1.68207e+10
828,5.37811e+08,1.68564e+10
829,5.39172e+08,1.68998e+10
830,5.40535e+08,1.69409e+10
831,5.419e+08,1.70097e+10
832,5.43266e+08,1.70569e+10
833,5.44635e+08,1.70904e+10
834,5.46005e+08,1.71246e+10
835,5.47377e+08,1.71673e+10
836,5.4875e+08,1.7195e+10
837,5.50126e+08,1.7217e+10
838,5.51503e+08,1.72581e+10
839,5.52882e+08,1.73169e+10
840,5.54263e+08,1.74256e+10
841,5.55646e+08,1.75373e+10
842,5.5703e+08,1.75747e+10
843,5.58417e+08,1.76053e+10
844,5.59805e+08,1.76558e+10
845,5.61195e+08,1.7692e+10
846,5.62587e+08,1.7764e+10
847,5.6398e+08,1.78434e+10
848,5.65375e+08,1.78815e+10
849,5.66773e+08,1.79456e+10
850,5.68172e+08,1.79914e+10
851,5.69572e+08,1.80652e+10
852,5.70975e+08,1.81027e+10
853,5.72379e+08,1.81685e+10
854,5.73785e+08,1.82364e+10
855,5.75193e+08,1.829e+10
856,5.76603e+08,1.83365e+10
857,5.78014e+08,1.83743e+10
858,5.79428e+08,1.83996e+10
859,5.80843e+08,1.84409e+10
860,5.8226e+08,1.8492e+10
861,5.83679e+08,1.85472e+10
862,5.85099e+08,1.85824e+10
863,5.86521e+08,1.86272e+10
864,5.87945e+08,1.86675e+10
865,5.89371e+08,1.87185e+10
866,5.90799e+08,1.87991e+10
867,5.92229e+08,1.88501e+10
868,5.9366e+08,1.91107e+10
869,5.95093e+08,1.91505e+10
870,5.96528e+08,1.92247e+10
871,5.97965e+08,1.93318e+10
872,5.99403e+08,1.94337e+10
873,6.00844e+08,1.94694e+10
874,6.02286e+08,1.95605e+10
875,6.0373e+08,1.95987e+10
876,6.05175e+08,1.96513e+10
877,6.06623e+08,1.97499e+10
878,6.08072e+08,1.98803e+10
879,6.09523e+08,1.99435e+10
880,6.10976e+08,1.99964e+10
881,6.12431e+08,2.00765e+10
882,6.13888e+08,2.01329e+10
883,6.15346e+08,2.01842e+10
884,6.16806e+08,2.04225e+10
885,6.18268e+08,2.04785e+10
886,6.19732e+08,2.05674e+10
887,6.21197e+08,2.06225e+10
888,6.22665e+08,2.07034e+10
889,6.24134e+08,2.08389e+10
890,6.25605e+08,2.09156e+10
891,6.27077e+08,2.09545e+10
892,6.28552e+08,2.10051e+10
893,6.30028e+08,2.10307e+10
894,6.31506e+08,2.10932e+10
895,6.32986e+08,2.11395e+10
896,6.34468e+08,2.12087e+10
897,6.35952e+08,2.12512e+10
898,6.37437e+08,2.12971e+10
899,6.38924e+08,2.13797e+10
900,6.40413e+08,2.14159e+10
901,6.41904e+08,2.14645e+10
902,6.43396e+08,2.15328e+10
903,6.4489e+08,2.15715e+10
904,6.46387e+08,2.16178e+10
905,6.47885e+08,2.1723e+10
906,6.49384e+08,2.18071e+10
907,6.50886e+08,2.19088e+10
908,6.52389e+08,2.20054e+10
909,6.53894e+08,2.20585e+10
910,6.55401e+08,2.21937e+10
911,6.5691e+08,2.23049e+10
912,6.5842e+08,2.23489e+10
913,6.59933e+08,2.25333e+10
914,6.61447e+08,2.27038e+10
915,6.62963e+08,2.27282e+10
916,6.64481e+08,2.28095e+10
917,6.66e+08,2.28683e+10
918,6.67521e+08,2.30568e+10
919,6.69045e+08,2.3091e+10
920,6.70569e+08,2.31444e+10
921,6.72096e+08,2.32093e+10
922,6.73625e+08,2.33243e+10
923,6.75155e+08,2.34528e+10
924,6.76687e+08,2.35495e+10
925,6.78221e+08,2.3598e+10
926,6.79757e+08,2.36726e+10
927,6.81294e+08,2.37673e+10
928,6.82834e+08,2.38295e+10
929,6.84375e+08,2.38682e+10
930,6.85918e+08,2.39005e+10
931,6.87462e+08,2.39809e+10
932,6.89009e+08,2.40381e+10
933,6.90557e+08,2.40704e+10
934,6.92107e+08,2.41536e+10
935,6.93659e+08,2.42225e+10
936,6.95213e+08,2.42628e+10
937,6.96769e+08,2.43284e+10
938,6.98326e+08,2.43839e+10
939,6.99885e+08,2.45139e+10
940,7.01446e+08,2.46041e+10
941,7.03009e+08,2.46878e+10
942,7.04573e+08,2.47406e+10
943,7.0614e+08,2.47704e+10
944,7.07708e+08,2.48566e+10
945,7.09278e+08,2.49053e+10
946,7.10849e+08,2.49882e+10
947,7.12423e+08,2.50325e+10
948,7.13998e+08,2.50867e+10
949,7.15575e+08,2.5194e+10
950,7.17154e+08,2.52363e+10
951,7.18735e+08,2.52749e+10
952,7.20318e+08,2.53142e+10
953,7.21902e+08,2.5374e+10
954,7.23488e+08,2.54233e+10
955,7.25076e+08,2.55292e+10
956,7.26666e+08,2.55712e+10
957,7.28257e+08,2.57272e+10
958,7.29851e+08,2.58047e+10
959,7.31446e+08,2.5834e+10
960,7.33043e+08,2.59087e+10
961,7.34641e+08,2.60024e+10
962,7.36242e+08,2.60418e+10
963,7.37844e+08,2.61237e+10
964,7.39448e+08,2.61621e+10
965,7.41054e+08,2.6206e+10
966,7.42662e+08,2.62634e+10
967,7.44271e+08,2.63135e+10
968,7.45883e+08,2.63767e+10
969,7.47496e+08,2.6428e+10
970,7.49111e+08,2.64837e+10
971,7.50728e+08,2.65663e+10
972,7.52346e+08,2.65986e+10
973,7.53966e+08,2.6694e+10
974,7.55589e+08,2.67998e+10
975,7.57212e+08,2.68896e+10
976,7.58838e+08,2.70443e+10
977,7.60466e+08,2.71828e+10
978,7.62095e+08,2.72753e+10
979,7.63726e+08,2.74114e+10
980,7.65359e+08,2.74917e+10
981,7.66994e+08,2.75766e+10
982,7.6863e+08,2.78199e+10
983,7.70269e+08,2.78597e+10
984,7.71909e+08,2.79088e+10
985,7.73551e+08,2.79584e+10
986,7.75195e+08,2.81528e+10
987,7.7684e+08,2.82055e+10
988,7.78487e+08,2.83033e+10
989,7.80136e+08,2.83731e+10
990,7.81787e+08,2.84313e+10
991,7.8344e+08,2.84785e+10
992,7.85095e+08,2.85465e+10
993,7.86751e+08,2.8601e+10
994,7.88409e+08,2.87129e+10
995,7.90069e+08,2.87438e+10
996,7.91731e+08,2.88348e+10
997,7.93394e+08,2.90132e+10
998,7.9506e+08,2.90633e+10
999,7.96727e+08,2.91495e+10
1000,7.98396e+08,2.92474e+10
